[2026-04-20 12:09:01.641] VENDA_FABRICA_LOJA | veiculoId=87 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=6 | lojaId=2 | posEsteiraLoja=14
[2026-04-20 12:09:01.703] VENDA_FABRICA_LOJA | veiculoId=89 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=8 | lojaId=2 | posEsteiraLoja=0
[2026-04-20 12:09:01.765] VENDA_FABRICA_LOJA | veiculoId=92 | cor=B | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=11 | lojaId=2 | posEsteiraLoja=1
[2026-04-20 12:09:01.828] VENDA_FABRICA_LOJA | veiculoId=95 | cor=B | tipo=SEDAN | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=14 | lojaId=2 | posEsteiraLoja=2
[2026-04-20 12:09:01.889] VENDA_FABRICA_LOJA | veiculoId=99 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=17 | lojaId=2 | posEsteiraLoja=3
[2026-04-20 12:09:01.949] VENDA_FABRICA_LOJA | veiculoId=101 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=20 | lojaId=2 | posEsteiraLoja=4
[2026-04-20 12:09:02.011] VENDA_FABRICA_LOJA | veiculoId=103 | cor=G | tipo=SEDAN | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=22 | lojaId=2 | posEsteiraLoja=5
[2026-04-20 12:09:02.073] VENDA_FABRICA_LOJA | veiculoId=105 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=24 | lojaId=2 | posEsteiraLoja=6
[2026-04-20 12:09:02.136] VENDA_FABRICA_LOJA | veiculoId=108 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=27 | lojaId=2 | posEsteiraLoja=7
[2026-04-20 12:09:02.198] VENDA_FABRICA_LOJA | veiculoId=111 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=30 | lojaId=2 | posEsteiraLoja=8
[2026-04-20 12:09:02.260] VENDA_FABRICA_LOJA | veiculoId=114 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=33 | lojaId=2 | posEsteiraLoja=9
[2026-04-20 12:09:02.323] VENDA_FABRICA_LOJA | veiculoId=117 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=36 | lojaId=2 | posEsteiraLoja=10
[2026-04-20 12:09:02.386] VENDA_FABRICA_LOJA | veiculoId=118 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=38 | lojaId=2 | posEsteiraLoja=11
[2026-04-20 12:09:02.447] VENDA_FABRICA_LOJA | veiculoId=121 | cor=G | tipo=SEDAN | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=0 | lojaId=2 | posEsteiraLoja=12
[2026-04-20 12:09:02.507] VENDA_FABRICA_LOJA | veiculoId=124 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=2 | lojaId=2 | posEsteiraLoja=13
[2026-04-20 12:09:02.569] VENDA_FABRICA_LOJA | veiculoId=125 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=4 | lojaId=2 | posEsteiraLoja=14
[2026-04-20 12:09:02.630] VENDA_FABRICA_LOJA | veiculoId=129 | cor=R | tipo=SEDAN | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=7 | lojaId=2 | posEsteiraLoja=0
[2026-04-20 12:09:02.692] VENDA_FABRICA_LOJA | veiculoId=130 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=9 | lojaId=2 | posEsteiraLoja=1
[2026-04-20 12:09:02.831] VENDA_FABRICA_LOJA | veiculoId=134 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=12 | lojaId=2 | posEsteiraLoja=2
[2026-04-20 12:09:02.893] VENDA_FABRICA_LOJA | veiculoId=139 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=17 | lojaId=2 | posEsteiraLoja=3
[2026-04-20 12:09:02.954] VENDA_FABRICA_LOJA | veiculoId=140 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=19 | lojaId=2 | posEsteiraLoja=4
[2026-04-20 12:09:03.413] VENDA_FABRICA_LOJA | veiculoId=141 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=20 | lojaId=2 | posEsteiraLoja=5
[2026-04-20 12:09:03.544] VENDA_FABRICA_LOJA | veiculoId=147 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=26 | lojaId=2 | posEsteiraLoja=6
