[2026-04-20 12:07:13.792] PRODUCAO | veiculoId=38 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=0
[2026-04-20 12:07:13.860] PRODUCAO | veiculoId=42 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=1
[2026-04-20 12:07:13.911] PRODUCAO | veiculoId=43 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=2
[2026-04-20 12:07:13.963] PRODUCAO | veiculoId=44 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=3
[2026-04-20 12:07:14.017] PRODUCAO | veiculoId=45 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=4
[2026-04-20 12:07:14.069] PRODUCAO | veiculoId=46 | cor=G | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=5
[2026-04-20 12:07:14.120] PRODUCAO | veiculoId=47 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=6
[2026-04-20 12:07:14.172] PRODUCAO | veiculoId=48 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=7
[2026-04-20 12:07:14.225] PRODUCAO | veiculoId=49 | cor=G | tipo=SEDAN | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=8
[2026-04-20 12:07:14.277] PRODUCAO | veiculoId=50 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=9
[2026-04-20 12:07:14.332] PRODUCAO | veiculoId=51 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=10
[2026-04-20 12:07:14.384] PRODUCAO | veiculoId=52 | cor=G | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=11
[2026-04-20 12:07:14.436] PRODUCAO | veiculoId=53 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=12
[2026-04-20 12:07:14.488] PRODUCAO | veiculoId=55 | cor=G | tipo=SEDAN | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=13
[2026-04-20 12:07:14.540] PRODUCAO | veiculoId=54 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=14
[2026-04-20 12:07:14.593] PRODUCAO | veiculoId=56 | cor=B | tipo=SUV | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=15
[2026-04-20 12:07:43.251] PRODUCAO | veiculoId=57 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=16
[2026-04-20 12:07:43.319] PRODUCAO | veiculoId=58 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=17
[2026-04-20 12:07:43.372] PRODUCAO | veiculoId=59 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=18
[2026-04-20 12:07:43.426] PRODUCAO | veiculoId=61 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=19
[2026-04-20 12:07:43.478] PRODUCAO | veiculoId=60 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=20
[2026-04-20 12:07:43.531] PRODUCAO | veiculoId=62 | cor=B | tipo=SUV | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=21
[2026-04-20 12:07:43.583] PRODUCAO | veiculoId=63 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=22
[2026-04-20 12:07:43.635] PRODUCAO | veiculoId=64 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=23
[2026-04-20 12:07:43.687] PRODUCAO | veiculoId=65 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=24
[2026-04-20 12:07:43.740] PRODUCAO | veiculoId=66 | cor=R | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=25
[2026-04-20 12:07:43.792] PRODUCAO | veiculoId=67 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=26
[2026-04-20 12:07:43.844] PRODUCAO | veiculoId=68 | cor=B | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=27
[2026-04-20 12:07:43.897] PRODUCAO | veiculoId=69 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=28
[2026-04-20 12:07:43.949] PRODUCAO | veiculoId=70 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=29
[2026-04-20 12:07:44.001] PRODUCAO | veiculoId=71 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=30
[2026-04-20 12:07:44.054] PRODUCAO | veiculoId=72 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=31
[2026-04-20 12:08:44.207] PRODUCAO | veiculoId=73 | cor=G | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=32
[2026-04-20 12:08:44.273] PRODUCAO | veiculoId=74 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=33
[2026-04-20 12:08:44.326] PRODUCAO | veiculoId=75 | cor=R | tipo=SEDAN | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=34
