[2026-04-20 12:09:01.302] VENDA_LOJA_CLIENTE | veiculoId=37 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=38 | clienteId=19 | posGaragemCliente=1
[2026-04-20 12:09:01.323] VENDA_LOJA_CLIENTE | veiculoId=41 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=39 | clienteId=12 | posGaragemCliente=1
[2026-04-20 12:09:01.342] VENDA_LOJA_CLIENTE | veiculoId=28 | cor=G | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=27 | clienteId=18 | posGaragemCliente=1
[2026-04-20 12:09:01.354] VENDA_LOJA_CLIENTE | veiculoId=38 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=0 | clienteId=15 | posGaragemCliente=1
[2026-04-20 12:09:01.378] VENDA_LOJA_CLIENTE | veiculoId=13 | cor=G | tipo=SEDAN | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=12 | clienteId=11 | posGaragemCliente=2
[2026-04-20 12:09:01.379] VENDA_LOJA_CLIENTE | veiculoId=15 | cor=R | tipo=SEDAN | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=13 | clienteId=20 | posGaragemCliente=1
[2026-04-20 12:09:01.434] VENDA_LOJA_CLIENTE | veiculoId=29 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=28 | clienteId=3 | posGaragemCliente=1
[2026-04-20 12:09:01.449] VENDA_LOJA_CLIENTE | veiculoId=14 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=14 | clienteId=8 | posGaragemCliente=2
[2026-04-20 12:09:01.463] VENDA_LOJA_CLIENTE | veiculoId=42 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=1 | clienteId=13 | posGaragemCliente=1
[2026-04-20 12:09:01.492] VENDA_LOJA_CLIENTE | veiculoId=43 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=2 | clienteId=17 | posGaragemCliente=1
[2026-04-20 12:09:01.510] VENDA_LOJA_CLIENTE | veiculoId=16 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=15 | clienteId=2 | posGaragemCliente=2
[2026-04-20 12:09:01.534] VENDA_LOJA_CLIENTE | veiculoId=51 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=10 | clienteId=6 | posGaragemCliente=1
[2026-04-20 12:09:01.579] VENDA_LOJA_CLIENTE | veiculoId=30 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=29 | clienteId=16 | posGaragemCliente=2
[2026-04-20 12:09:01.620] VENDA_LOJA_CLIENTE | veiculoId=31 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=30 | clienteId=12 | posGaragemCliente=2
[2026-04-20 12:09:01.640] VENDA_LOJA_CLIENTE | veiculoId=32 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=31 | clienteId=4 | posGaragemCliente=1
[2026-04-20 12:09:01.653] VENDA_LOJA_CLIENTE | veiculoId=44 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=3 | clienteId=9 | posGaragemCliente=2
[2026-04-20 12:09:01.659] VENDA_LOJA_CLIENTE | veiculoId=54 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=14 | clienteId=8 | posGaragemCliente=3
[2026-04-20 12:09:01.662] VENDA_LOJA_CLIENTE | veiculoId=52 | cor=G | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=11 | clienteId=10 | posGaragemCliente=1
[2026-04-20 12:09:01.680] VENDA_LOJA_CLIENTE | veiculoId=45 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=4 | clienteId=11 | posGaragemCliente=3
[2026-04-20 12:09:01.682] VENDA_LOJA_CLIENTE | veiculoId=46 | cor=G | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=5 | clienteId=5 | posGaragemCliente=2
[2026-04-20 12:09:01.719] VENDA_LOJA_CLIENTE | veiculoId=47 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=6 | clienteId=7 | posGaragemCliente=2
[2026-04-20 12:09:01.754] VENDA_LOJA_CLIENTE | veiculoId=48 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=7 | clienteId=13 | posGaragemCliente=2
[2026-04-20 12:09:01.789] VENDA_LOJA_CLIENTE | veiculoId=57 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=16 | clienteId=16 | posGaragemCliente=3
[2026-04-20 12:09:01.815] VENDA_LOJA_CLIENTE | veiculoId=55 | cor=G | tipo=SEDAN | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=13 | clienteId=15 | posGaragemCliente=2
[2026-04-20 12:09:01.823] VENDA_LOJA_CLIENTE | veiculoId=49 | cor=G | tipo=SEDAN | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=8 | clienteId=6 | posGaragemCliente=2
[2026-04-20 12:09:01.853] VENDA_LOJA_CLIENTE | veiculoId=50 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=9 | clienteId=1 | posGaragemCliente=2
[2026-04-20 12:09:01.853] VENDA_LOJA_CLIENTE | veiculoId=56 | cor=B | tipo=SUV | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=15 | clienteId=3 | posGaragemCliente=2
[2026-04-20 12:09:01.855] VENDA_LOJA_CLIENTE | veiculoId=53 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=12 | clienteId=14 | posGaragemCliente=2
[2026-04-20 12:09:01.883] VENDA_LOJA_CLIENTE | veiculoId=59 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=18 | clienteId=20 | posGaragemCliente=2
[2026-04-20 12:09:01.935] VENDA_LOJA_CLIENTE | veiculoId=61 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=19 | clienteId=17 | posGaragemCliente=2
[2026-04-20 12:09:01.950] VENDA_LOJA_CLIENTE | veiculoId=62 | cor=B | tipo=SUV | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=21 | clienteId=7 | posGaragemCliente=3
[2026-04-20 12:09:01.992] VENDA_LOJA_CLIENTE | veiculoId=64 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=23 | clienteId=18 | posGaragemCliente=2
[2026-04-20 12:09:02.046] VENDA_LOJA_CLIENTE | veiculoId=66 | cor=R | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=25 | clienteId=11 | posGaragemCliente=4
[2026-04-20 12:09:02.051] VENDA_LOJA_CLIENTE | veiculoId=58 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=17 | clienteId=16 | posGaragemCliente=4
[2026-04-20 12:09:02.051] VENDA_LOJA_CLIENTE | veiculoId=60 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=20 | clienteId=19 | posGaragemCliente=2
[2026-04-20 12:09:02.092] VENDA_LOJA_CLIENTE | veiculoId=63 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=22 | clienteId=9 | posGaragemCliente=3
[2026-04-20 12:09:02.138] VENDA_LOJA_CLIENTE | veiculoId=69 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=28 | clienteId=2 | posGaragemCliente=3
[2026-04-20 12:09:02.156] VENDA_LOJA_CLIENTE | veiculoId=68 | cor=B | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=27 | clienteId=7 | posGaragemCliente=4
[2026-04-20 12:09:02.165] VENDA_LOJA_CLIENTE | veiculoId=65 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=24 | clienteId=1 | posGaragemCliente=3
